Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
BNK,6,10.6351,14.0938,11.1490,11.6856,127,51.21,0.6981,0.5018,1.1786,-0.0090,8.3477,0.8957,4.6184,10.0780,1.4325
BNL,5,31.8476,8.2586,55.3076,8.4648,93,37.50,3.3719,2.4139,0.0198,0.1069,0.0000,4.4707,2.7062,5.3164,0.2966
BNS,4,32.0498,8.8592,28.8382,6.9564,93,37.50,3.1788,2.0426,0.8716,0.0240,32.3108,4.2185,2.9030,5.7203,0.3146
BNZ,5,25.8889,7.1817,42.8475,1.3285,97,39.11,3.2423,2.6762,0.6769,-0.0055,34.4006,4.6668,2.3534,4.4566,0.3084
BPE,4,13.3376,19.6292,53.0027,1.6815,120,48.39,0.6605,0.5957,0.3148,-0.0029,41.1837,0.8466,6.4322,14.1528,1.5141
BPF,4,25.9394,9.9355,32.2778,5.5467,98,39.52,2.4181,-0.0134,1.5352,-0.0776,15.6491,2.6829,3.2557,6.6617,0.4136
BPG,4,24.6080,9.4263,33.6712,5.2014,98,39.52,2.4286,-0.5123,1.6818,-0.1055,13.6119,2.6438,3.0889,6.4532,0.4118
BPH,7,-6.9834,25.5161,-3.1464,22.7787,127,51.21,-0.2894,-0.3096,1.0805,-0.0164,-6.8344,-0.3771,8.3613,19.2914,-3.4553
BPI,6,-0.1227,23.5991,57.6126,8.4570,123,49.60,-0.0214,-0.0216,-0.0090,-0.0003,56.1242,-0.0274,7.7331,17.7051,-46.6729
BPJ,4,16.9373,16.1257,55.3076,8.4648,124,50.00,0.9516,0.6874,-0.0062,0.0620,0.0000,1.2112,5.2842,11.5083,1.0508
BPK,6,31.6590,3.6626,33.0377,4.2811,51,20.56,7.6391,-44.8651,0.8157,0.0173,34.3023,10.4136,1.2002,1.5250,0.1309
BPL,2,58.5356,1.9606,55.9048,1.4977,4,1.61,24.0386,192.3595,1.0201,0.0040,46.2007,0.0000,0.6425,0.0956,0.0416
BPN,5,10.3679,19.1818,56.0759,8.4621,125,50.40,0.4979,0.4210,-0.0148,0.0406,0.0000,0.6371,6.2856,13.9536,2.0085
BPO,5,15.6273,16.1161,43.5542,1.3245,110,44.35,0.8572,0.6848,-0.1127,0.0713,0.0000,1.0903,5.2810,11.7544,1.1666
BPR,2,39.9967,4.1660,54.5393,8.4675,59,23.79,8.1496,-21.3224,0.0269,0.1299,0.0000,8.1909,1.3652,2.4152,0.1227
BPS,6,11.7599,17.8558,44.9675,1.3175,111,44.76,0.5798,0.4918,-0.1568,0.0647,-66.0389,0.7281,5.8511,13.2482,1.7246
BPU,6,30.4548,5.2947,31.6950,5.5595,68,27.42,5.1169,-4.3719,0.8698,0.0113,31.1470,5.4655,1.7350,3.2692,0.1954
CFA,6,82.7310,16.4839,77.2086,21.0309,101,40.73,3.7447,5.4795,0.6505,0.0916,94.8969,6.3800,5.4016,9.2534,0.2670
CFB,2,56.4787,1.9329,52.2392,5.1435,3,1.21,23.6888,174.0404,0.1051,0.1638,0.0000,28.5942,0.6334,0.2300,0.0422
CFC,3,38.4331,5.3770,31.9191,5.6519,74,29.84,6.1834,-9.1106,0.8115,0.0415,40.9710,6.6386,1.7620,3.2235,0.1617
CFD,6,29.6094,4.9865,33.8433,4.9674,71,28.63,5.2983,-1.2537,0.9093,-0.0018,29.0554,6.4134,1.6340,2.8161,0.1887
CFE,3,26.8640,6.0946,42.8475,1.3285,80,32.26,3.9341,-1.7508,0.5377,0.0174,44.5900,4.2510,1.9971,4.1587,0.2542
CFY,1,53.5221,1.7163,38.0471,1.0726,0,0.00,25.5403,240.3294,1.0342,0.0392,42.3870,,0.5624,0.0000,0.0392
CGE,5,22.1702,12.0233,55.3068,1.6678,110,44.35,1.6504,0.8414,-0.2022,0.1148,-98.1561,2.1041,3.9399,8.4791,0.6059
CGG,3,35.9910,5.1461,32.2778,5.5467,69,27.82,6.0904,-12.2027,0.7763,0.0369,40.3735,6.2678,1.6863,3.1311,0.1642
CHA,5,17.9084,12.6315,55.3076,8.4648,113,45.56,1.3236,0.9249,-0.0123,0.0686,0.0000,1.7447,4.1392,8.8624,0.7555
CHC,3,49.1071,2.4048,54.5393,8.4675,24,9.68,16.8445,10.4470,0.0444,0.1529,0.0000,18.2710,0.7880,0.8431,0.0594
CHD,6,9.0260,17.7045,44.9675,1.3175,103,41.53,0.5176,0.3796,-0.0900,0.0499,0.0000,0.5868,5.8015,13.7287,1.9318
CHG,6,-9.2002,24.6136,57.6126,8.4570,122,49.19,-0.3606,-0.3989,-0.0523,-0.0255,0.0000,-0.4568,8.0655,18.8220,-2.7730
CHH,6,-6.4353,24.5968,-3.8424,22.8973,130,52.42,-0.2715,-0.2912,1.0423,-0.0110,-6.4063,-0.3572,8.0601,18.3768,-3.6836
CHI,5,15.7000,14.2971,43.5542,1.3245,106,42.74,1.0309,0.6741,0.2247,0.0255,65.5915,1.2396,4.6850,10.6545,0.9700
CHK,3,37.9709,5.3739,32.2778,5.5467,73,29.44,6.0187,-6.4934,0.8316,0.0347,38.8930,6.6053,1.7609,3.1660,0.1661
CHL,2,58.8730,1.9628,55.7821,1.4904,3,1.21,24.1212,201.3379,1.1089,-0.0108,42.6956,0.0000,0.6432,0.0686,0.0415
CHM,6,11.5711,15.4323,56.0749,1.6637,118,47.58,0.6788,0.5076,-0.1934,0.0765,-54.1743,0.8489,5.0570,11.3569,1.4732
