FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
BEH,-0.1549,24.938,3.6765,22.8384,0.1193,0.1155,1.0801,-0.0152,2.7541,0.153,8.1719,18.6334,8.3838,6
BEI,32.2086,7.1677,43.2304,1.3837,4.0122,1.7387,1.05,-0.0388,27.3895,4.7835,2.3487,4.363,0.2492,4
BEK,33.8348,5.6671,32.0736,5.5309,5.2781,-14.2953,0.8689,0.0203,34.4261,4.5782,1.857,3.8264,0.1895,3
BEO,19.136,16.1037,45.3444,1.3727,1.1907,0.6475,0.5276,-0.0039,36.3451,1.3549,5.277,12.1247,0.8399,5
BGE,29.0689,8.6215,29.0791,7.1646,3.0643,0.4182,1.0885,-0.0088,24.2706,3.6414,2.8252,5.9036,0.3263,4
BGK,41.3685,3.7379,32.0736,5.5309,9.4746,-15.2093,0.2742,0.1095,0,9.935,1.2249,2.0638,0.1055,4
BKB,32.8404,5.9547,34.4287,5.1832,4.8977,-6.4869,0.9785,-0.0021,29.8045,9.2346,1.9513,2.6559,0.2042,4
BNA,77.6277,17.0354,73.0115,20.9654,3.5292,5.2892,0.66,0.0862,91.0905,6.1596,5.5823,9.5496,0.2833,7
BNB,45.6737,5.0307,53.5454,1.7595,7.6603,-10.4516,0.7561,0.0215,50.9654,7.2057,1.6485,3.078,0.1305,3
BNK,14.8271,14.1001,13.8887,11.6323,1.0713,0.6033,1.1835,-0.0056,12.7627,1.3717,4.6204,9.9575,0.9335,6
BNL,33.6092,8.2723,55.8457,8.4639,3.6169,2.46,0.023,0.1146,0,4.7713,2.7107,5.3098,0.2765,5
BNS,34.6757,8.8509,30.5658,6.9455,3.4777,2.0133,0.8731,0.027,35.2538,4.5512,2.9003,5.6993,0.2875,4
BNZ,27.7012,7.1811,43.2304,1.3837,3.5115,2.7773,0.6829,0.0006,36.9264,5.0317,2.3532,4.4335,0.2848,5
BPE,17.6047,19.6179,53.5454,1.7595,0.9418,0.8039,0.3454,0.0133,53.4853,1.1973,6.4285,14.0618,1.0618,4
